time,state,key_info_id,is_anomal
2018-05-29 06:52:56+00,ON,114,0
2018-05-29 10:02:04+00,OFF,115,0
2018-06-13 07:26:33+00,ON,116,0
2018-06-13 10:40:43+00,OFF,117,0
2018-06-14 07:04:41+00,ON,118,0
2018-06-14 09:59:50+00,OFF,119,0
2018-06-15 05:58:25+00,ON,120,0
2018-06-15 06:05:36+00,OFF,121,0
2018-06-15 06:09:15+00,ON,122,0
2018-06-15 10:04:32+00,OFF,123,0
2018-06-18 06:58:28+00,ON,124,0
2018-06-18 10:09:32+00,OFF,125,0
2018-06-19 05:27:18+00,ON,126,0
2018-06-19 11:09:24+00,OFF,127,0
2018-06-20 07:52:11+00,ON,128,0
2018-06-20 10:01:19+00,OFF,129,0
2018-06-21 07:16:12+00,ON,130,0
2018-06-21 10:41:15+00,OFF,131,0
2018-06-22 06:53:28+00,ON,132,0
2018-06-22 07:32:22+00,OFF,133,0
2018-06-22 08:51:19+00,ON,134,0
2018-06-22 11:38:09+00,OFF,135,0
2018-06-25 06:40:29+00,ON,136,0
2018-06-25 11:28:41+00,OFF,137,0
2018-06-26 06:16:22+00,ON,138,0
2018-06-26 10:59:35+00,OFF,139,0
2018-06-28 07:10:05+00,ON,140,0
2018-06-28 11:00:05+00,OFF,141,0
2018-07-02 07:45:38+00,ON,142,0
2018-07-02 10:31:44+00,OFF,143,0
2018-07-03 05:46:17+00,ON,144,0
2018-07-03 12:28:00+00,OFF,145,0
2018-07-04 07:27:58+00,ON,146,0
2018-07-04 11:21:37+00,OFF,147,0
2018-07-05 07:28:33+00,ON,148,0
2018-07-05 10:05:51+00,OFF,149,0
2018-07-09 05:22:52+00,ON,150,0
2018-07-09 10:29:42+00,OFF,151,0
2018-07-10 05:17:08+00,ON,152,0
2018-07-10 08:30:56+00,OFF,153,0
2018-07-11 07:25:06+00,ON,154,0
2018-07-11 10:17:17+00,OFF,155,0
2018-07-12 06:08:52+00,ON,156,0
2018-07-12 11:04:36+00,OFF,157,0
2018-07-13 06:03:38+00,ON,158,0
2018-07-13 11:00:03+00,OFF,159,0
2018-07-17 06:21:50+00,ON,160,0
2018-07-17 10:18:45+00,OFF,161,0
2018-07-18 08:29:14+00,ON,162,0
2018-07-18 10:07:30+00,OFF,163,0
2018-07-19 07:36:38+00,ON,164,0
2018-07-19 10:38:28+00,OFF,165,0
2018-07-27 05:39:42+00,ON,166,0
2018-07-27 05:51:52+00,OFF,167,0
2018-08-03 06:35:29+00,ON,168,0
2018-08-03 07:14:52+00,OFF,169,0
2018-08-03 08:54:33+00,ON,170,0
2018-08-03 10:10:58+00,OFF,171,0
2018-08-06 04:37:17+00,ON,172,0
2018-08-06 09:55:13+00,OFF,173,0
2018-08-07 06:08:45+00,ON,174,0
2018-08-07 10:34:24+00,OFF,175,0
2018-08-08 08:23:19+00,ON,176,0
2018-08-08 10:02:13+00,OFF,177,0
2018-08-09 07:12:21+00,ON,178,0
2018-08-09 10:00:30+00,OFF,179,0
2018-08-10 02:50:44+00,ON,180,0
2018-08-10 04:48:10+00,OFF,181,0
2018-08-10 05:04:18+00,ON,182,0
2018-08-10 10:02:33+00,OFF,183,0
2018-08-15 02:31:58+00,ON,216,0
2018-08-15 08:37:03+00,OFF,217,0
2018-08-16 01:29:45+00,ON,218,0
2018-08-16 04:47:14+00,OFF,219,0
2018-08-19 04:30:25+00,ON,220,0
2018-08-19 04:47:45+00,OFF,221,0
2018-08-19 08:17:47+00,ON,222,0
2018-08-19 22:21:19+00,OFF,223,0
2018-08-21 04:18:19+00,ON,224,0
2018-08-21 12:07:17+00,OFF,225,1
2018-08-21 22:19:21+00,ON,226,0
2018-08-21 22:24:21+00,OFF,227,0
2018-08-21 22:56:19+00,ON,228,1
2018-08-22 13:09:36+00,OFF,229,1
2018-08-22 23:14:16+00,ON,230,0
2018-08-22 23:38:45+00,OFF,231,0
2018-08-23 00:10:46+00,ON,232,0
2018-08-23 08:46:10+00,OFF,233,0
2018-08-23 08:46:16+00,ON,234,0
2018-08-23 08:46:36+00,OFF,235,0
2018-08-30 10:24:39+00,ON,236,1
2018-08-30 15:30:40+00,OFF,237,1
2018-09-02 00:32:30+00,ON,238,0
2018-09-02 10:23:29+00,OFF,239,0
2018-09-05 01:00:57+00,ON,240,0
2018-09-05 09:20:17+00,OFF,241,0
2018-09-05 23:13:47+00,ON,242,1
2018-09-07 08:36:53+00,OFF,243,0
2018-09-11 03:18:29+00,ON,244,0
2018-09-11 11:46:20+00,OFF,245,0
2018-09-13 00:39:42+00,ON,246,0
2018-09-13 09:15:21+00,OFF,247,0
2018-09-13 23:27:52+00,ON,248,0
2018-09-14 01:12:50+00,OFF,249,0
2018-09-14 03:12:19+00,ON,250,0
2018-09-14 10:12:45+00,OFF,251,0
2018-09-15 00:00:55+00,ON,252,0
2018-09-15 02:38:03+00,OFF,253,0
2018-09-15 02:51:11+00,ON,254,0
2018-09-15 03:16:12+00,OFF,255,0
2018-09-15 07:48:57+00,ON,256,0
2018-09-15 08:47:25+00,OFF,257,0
2018-09-16 01:01:16+00,ON,258,0
2018-09-16 05:06:50+00,OFF,259,0
2018-09-24 03:27:30+00,ON,260,0
2018-09-24 07:02:41+00,OFF,261,0
2018-09-25 06:02:42+00,ON,262,1
2018-09-25 11:00:00+00,OFF,263,0
2018-10-01 07:46:51+00,ON,265,0
2018-10-01 11:12:48+00,OFF,266,0
2018-10-02 05:24:57+00,ON,267,0
2018-10-02 07:52:23+00,OFF,268,0
2018-10-02 07:52:37+00,ON,269,0
2018-10-02 08:33:05+00,OFF,270,0
2018-10-03 07:33:09+00,ON,271,0
2018-10-03 11:22:08+00,OFF,272,0
2018-10-04 05:24:54+00,ON,273,1
2018-10-04 08:33:52+00,OFF,274,0
2018-10-05 06:29:46+00,ON,275,0
2018-10-05 11:54:39+00,OFF,276,1
2018-10-06 02:15:05+00,ON,277,0
2018-10-06 05:13:05+00,OFF,278,0
2018-10-09 07:36:55+00,ON,279,0
2018-10-09 07:57:28+00,OFF,280,0
2018-10-09 12:01:25+00,ON,281,0
2018-10-09 12:01:34+00,OFF,282,0
2018-10-10 00:22:00+00,ON,283,0
2018-10-10 06:06:02+00,OFF,284,0
2018-10-10 06:13:34+00,ON,285,1
2018-10-10 08:53:12+00,OFF,286,0
2018-10-10 09:08:50+00,ON,287,0
2018-10-10 13:00:00+00,OFF,288,0
2018-10-16 07:36:43+00,ON,321,0
2018-10-16 13:25:24+00,OFF,322,1
2018-10-17 07:21:34+00,ON,323,0
2018-10-17 13:29:00+00,OFF,324,1
2018-10-18 05:41:13+00,ON,325,0
2018-10-18 09:25:16+00,OFF,326,0
2018-10-18 09:33:19+00,ON,327,0
2018-10-18 11:34:07+00,OFF,328,1
2018-10-19 03:28:49+00,ON,329,0
2018-10-19 03:43:20+00,OFF,330,0
2018-10-19 04:52:29+00,ON,331,0
2018-10-19 06:47:46+00,OFF,332,0
2018-10-19 08:54:40+00,ON,333,0
2018-10-19 13:06:36+00,OFF,334,1
2018-10-22 06:57:03+00,ON,335,0
2018-10-22 10:32:17+00,OFF,336,0
2018-10-23 06:28:10+00,ON,337,0
2018-10-23 13:28:02+00,OFF,338,1
2018-10-25 05:08:31+00,ON,339,0
2018-10-25 05:14:09+00,OFF,340,0
2018-10-25 07:45:20+00,ON,341,1
2018-10-25 08:46:29+00,OFF,342,0
2018-10-26 08:48:53+00,ON,343,0
2018-10-26 13:27:47+00,OFF,344,1
2018-10-29 07:48:39+00,ON,345,0
2018-10-29 13:36:38+00,OFF,346,1
2018-10-30 04:54:45+00,ON,347,0
2018-10-30 14:31:09+00,OFF,348,0
2018-10-31 08:31:10+00,ON,349,1
2018-10-31 14:15:06+00,OFF,350,1
2018-10-31 23:59:52+00,ON,351,0
2018-11-01 01:15:34+00,OFF,352,0
2018-11-01 07:32:44+00,ON,353,0
2018-11-01 13:29:07+00,OFF,354,1
2018-11-02 03:06:52+00,ON,355,0